bn_id,personLabel,childLabel,date_value,year,date_prec,had_child_edtf,note,child,s,person,bn_dob_yr,bn_dod_yr,bn_dob,bn_dod,age,all_start_date,all_end_date,earliest,latest,start_age,last_age,latest_year,earliest_year
Q998,Lina Chaworth Musters,,1860-01-01T00:00:00Z,1860,9,1860,,,Q998-ff91d8a5-489a-f93f-12af-bb7588341160,https://beyond-notability.wikibase.cloud/entity/Q998,1842,1912,1842-01-01T00:00:00Z,1912-02-01T00:00:00Z,18,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1860-01-01T00:00:00Z,1871-01-01T00:00:00Z,18,29,1871,1860
Q998,Lina Chaworth Musters,,1863-01-01T00:00:00Z,1863,9,1863,,,Q998-345c975e-4eb5-69f9-e4fc-48e870e11516,https://beyond-notability.wikibase.cloud/entity/Q998,1842,1912,1842-01-01T00:00:00Z,1912-02-01T00:00:00Z,21,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1860-01-01T00:00:00Z,1871-01-01T00:00:00Z,18,29,1871,1860
Q998,Lina Chaworth Musters,,1864-01-01T00:00:00Z,1864,9,1864,,,Q998-d0016b7e-4c6e-bd07-a209-6a90d1b8c575,https://beyond-notability.wikibase.cloud/entity/Q998,1842,1912,1842-01-01T00:00:00Z,1912-02-01T00:00:00Z,22,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1860-01-01T00:00:00Z,1871-01-01T00:00:00Z,18,29,1871,1860
Q998,Lina Chaworth Musters,,1868-01-01T00:00:00Z,1868,9,1868,,,Q998-17f67f00-4b0c-18d3-78a6-f893a25c2490,https://beyond-notability.wikibase.cloud/entity/Q998,1842,1912,1842-01-01T00:00:00Z,1912-02-01T00:00:00Z,26,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1860-01-01T00:00:00Z,1871-01-01T00:00:00Z,18,29,1871,1860
Q998,Lina Chaworth Musters,,1871-01-01T00:00:00Z,1871,9,1871,,,Q998-b0e48fb6-4356-1777-36fe-8250ecb47f47,https://beyond-notability.wikibase.cloud/entity/Q998,1842,1912,1842-01-01T00:00:00Z,1912-02-01T00:00:00Z,29,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1860-01-01T00:00:00Z,1871-01-01T00:00:00Z,18,29,1871,1860
Q475,Louisa Laura Forbes Caton,,1885-01-01T00:00:00Z,1885,9,1885,,,Q475-dcb54d2c-4428-c155-f158-f73df08042bd,https://beyond-notability.wikibase.cloud/entity/Q475,1863,1950,1863-01-01T00:00:00Z,1950-01-01T00:00:00Z,22,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1885-01-01T00:00:00Z,1888-01-01T00:00:00Z,22,25,1888,1885
Q475,Louisa Laura Forbes Caton,,1886-01-01T00:00:00Z,1886,9,1886,,,Q475-ee6760f0-4af0-7d6e-402f-12ffd57cb8b7,https://beyond-notability.wikibase.cloud/entity/Q475,1863,1950,1863-01-01T00:00:00Z,1950-01-01T00:00:00Z,23,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1885-01-01T00:00:00Z,1888-01-01T00:00:00Z,22,25,1888,1885
Q475,Louisa Laura Forbes Caton,,1888-01-01T00:00:00Z,1888,9,1888,,,Q475-f3f8a7a2-4d6e-5477-2f8a-a173f8a810c9,https://beyond-notability.wikibase.cloud/entity/Q475,1863,1950,1863-01-01T00:00:00Z,1950-01-01T00:00:00Z,25,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1885-01-01T00:00:00Z,1888-01-01T00:00:00Z,22,25,1888,1885
Q1599,Lucy Nichols,,1844-06-08T00:00:00Z,1844,11,1844-06-08,,,Q1599-9c4e6e5e-48d7-868b-b36d-fa4aeff3bddb,https://beyond-notability.wikibase.cloud/entity/Q1599,1820,1907,1820-07-01T00:00:00Z,1907-01-01T00:00:00Z,24,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1844-06-08T00:00:00Z,1855-08-27T00:00:00Z,24,35,1855,1844
Q1599,Lucy Nichols,,1848-11-18T00:00:00Z,1848,11,1848-11-18,,,Q1599-80598453-40d3-cda4-a54d-238f548c6c89,https://beyond-notability.wikibase.cloud/entity/Q1599,1820,1907,1820-07-01T00:00:00Z,1907-01-01T00:00:00Z,28,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1844-06-08T00:00:00Z,1855-08-27T00:00:00Z,24,35,1855,1844
Q1599,Lucy Nichols,,1855-08-27T00:00:00Z,1855,11,1855-08-27,,,Q1599-ac96f98d-4a54-1930-113a-284c6b2ba2a0,https://beyond-notability.wikibase.cloud/entity/Q1599,1820,1907,1820-07-01T00:00:00Z,1907-01-01T00:00:00Z,35,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1844-06-08T00:00:00Z,1855-08-27T00:00:00Z,24,35,1855,1844
Q1027,Lucy Ramsay,,1874-01-01T00:00:00Z,1874,9,1874,,,Q1027-dc405039-4946-26b4-6acf-53e65cf25a4c,https://beyond-notability.wikibase.cloud/entity/Q1027,1850,1905,1850-11-10T00:00:00Z,1905-07-04T00:00:00Z,24,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1874-01-01T00:00:00Z,1878-01-01T00:00:00Z,24,28,1878,1874
Q1027,Lucy Ramsay,,1876-01-01T00:00:00Z,1876,9,1876,,,Q1027-8523ad60-47c6-328e-b735-9d2f44730bcf,https://beyond-notability.wikibase.cloud/entity/Q1027,1850,1905,1850-11-10T00:00:00Z,1905-07-04T00:00:00Z,26,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1874-01-01T00:00:00Z,1878-01-01T00:00:00Z,24,28,1878,1874
